,Coal,Natural Gas,Crude Oil + Natural Gas Plant Liquids,Nuclear,Total Renewable Energy Production
1973,13.992124,22.189393,22.027758,0.910178,4.410937
1974,14.07445,21.210112,21.009812,1.272084,4.741852
1975,14.989316,19.639956,20.067262,1.899797,4.687121
1976,15.653687,19.48098,19.549558,2.111119,4.72715
1977,15.754742,19.568486,19.739389,2.701763,4.208967
1978,14.909809,19.485318,20.63561,3.024125,5.005441
1979,17.539584,20.076944,20.33592,2.775826,5.122854
1980,18.597726,19.908504,20.47376,2.739169,5.428342
1981,18.376774,19.698887,20.412303,3.007592,5.413688
1982,18.63875,18.31896,20.458147,3.131149,5.979637
1983,17.246671,16.593388,20.528111,3.202549,6.495613
1984,19.719216,18.007933,21.082047,3.552531,6.437862
1985,19.325166,16.98038,21.196174,4.075563,6.084015
1986,19.509466,16.5408,20.488739,4.380109,6.111138
1987,20.141104,17.135819,19.853718,4.753932,5.621807
1988,20.737639,17.598597,19.509618,5.586967,5.456754
1989,21.360177,17.847276,18.24025,5.60216,6.234675
1990,22.487549,18.326156,17.709486,6.104349,6.040043
1991,21.636425,18.228737,17.965989,6.422134,6.067806
1992,21.694133,18.3751,17.545449,6.479207,5.820579
1993,20.335653,18.584038,16.860578,6.410498,6.081935
1994,22.202083,19.348014,16.451951,6.693877,5.987171
1995,22.129551,19.082246,16.284602,7.075435,6.55734
1996,22.790149,19.344268,16.203239,7.086675,7.010926
1997,23.309614,19.39385,16.102817,6.596992,7.016853
1998,24.045199,19.613295,15.60743,7.067811,6.492783
1999,23.295085,19.340703,14.924008,7.610254,6.515643
2000,22.735479,19.661528,14.909565,7.862352,6.10173
2001,23.547077,20.165568,14.772098,8.028853,5.161847
2002,22.732237,19.382056,14.662416,8.145428,5.730988
2003,22.093651,19.633301,14.255628,7.959622,5.94257
2004,22.8521,19.074255,13.957668,8.222774,6.062795
2005,23.185189,18.556015,13.254097,8.160811,6.220999
2006,23.789511,19.021707,13.065493,8.214627,6.586515
2007,23.492743,19.78621,13.090163,8.458591,6.510748
2008,23.851366,20.702884,12.972603,8.426492,7.192158
2009,21.623721,21.139451,13.848376,8.35522,7.625747
2010,22.038226,21.805764,14.315302,8.434434,8.315006
2011,22.221407,23.405719,14.902371,8.268699,9.309688
2012,20.676894,24.610066,17.009401,8.061821,8.89616
2013,20.001304,24.859073,19.323711,8.244432,9.437538
2014,20.285706,26.718073,22.617902,8.337559,9.79813
2015,17.946096,28.066882,24.176732,8.336886,9.768402
2016,14.667088,27.576023,23.18722,8.426753,10.47963
2017,15.625377,28.289335,24.53261,8.418968,11.262742
2018,15.363443,31.882148,28.512675,8.438068,11.583637
2019,14.255762,35.187184,31.910981,8.451852,11.631716
2020,10.703214,34.724219,30.306105,8.251074,11.687377
2021,11.561319,35.412796,30.293975,8.128569,12.31736
